"충전소명",충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
"이랜드파크켄싱턴리조트제주한림점",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 한림해안로 530,제주특별자치도 제주시 한림읍 귀덕리 3861,지엔텔,,33.4358211,126.2745314,2018-07-03
"에코럭스",지하주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 김정문화로 27번길 9-1,제주특별자치도 서귀포시 강정동 173-3,지엔텔,,33.2524649,126.5072896,2018-07-03
"라온랜드 주식회사",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 한림읍 월림 7길 155,제주특별자치도 제주시 한림읍 월림리 산 8,지엔텔,,33.3555222,126.2420266,2018-07-03
"나인스파빌",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 애월읍 하광로 518,제주특별자치도 제주시 애월읍 광령리 2970,지엔텔,,33.4621944,126.4227085,2018-07-03
"아모르하우스",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 해맞이해안로 2060-18,제주특별자치도 제주시 구좌읍 종달리 1380,지엔텔,,33.5291668,126.8538817,2018-07-03
"㈜백상",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 안덕면 평화로 319번길 31-11,제주특별자치도 서귀포시 안덕면 서광리 2351,지엔텔,,33.2762284,126.3053462,2018-07-03
"아띠랑스",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 해맞이해안로 2614,제주특별자치도 서귀포시 성산읍 시흥리 10,지엔텔,,33.4777761,126.9091132,2018-07-03
"블루마운틴커피랜드",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주특별자치도 서귀포시 성산읍 삼달리 1510-1,지엔텔,,33.3801892,126.8371501,2018-07-03
"돈내코힐리조트",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 돈내코로 178,제주특별자치도 서귀포시 상효동 2205-3,지엔텔,,33.3053883,126.5774568,2018-07-03
"그랜드메르호텔",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 논짓물로 45,제주특별자치도 서귀포시 하예동 460-1,지엔텔,,33.2395805,126.3863731,2018-07-03
"오드리인제주/㈜갤러리",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 서해안로 100,제주특별자치도 제주시 이호1동 345,지엔텔,,33.5110314,126.4802212,2018-07-03
"크리스마스",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 제주시 구좌읍 해맞이해안로 2030-8,제주특별자치도 제주시 구좌읍 종달리 1422,지엔텔,,33.5088339,126.8996212,2018-07-03
"더썸하우스",야외주차장,제주특별자치도,연중무휴,00:00,23:59,Y,N,,,,N,제주특별자치도 서귀포시 성산읍 난고로 42번길 110,제주특별자치도 서귀포시 성산읍 고성리 1652-1,지엔텔,,33.4433216,126.9065691,2018-07-03
