트위터,날짜
아이폰 불매운동이라도 해야 애플이 정신 차리나? 아이폰으로 찍으면 독도는 일본땅? ‘애플의 배신’ http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201606242219025&code=940100&nv=stand …,2016-06-25
[단독] ＂독도가 일본섬?＂…한국 주장 외면하는 애플 (출처 : 연합뉴스TV | 네이버 뉴스) http://me2.do/FkMKkHSv 이런 걸로는 불매운동 안해??,2016-06-24
"애플, 독도를 '일본섬'으로 표기…한국 주장 외면 - 작성자 연합뉴스 http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160624074800017 … 애플 불매운동을 벌입시다.",2016-06-24
Retweeted cenjust ( @cenjust): 애플은 독도가 일본섬이라고 주구장창 표기하는데 고쳐달래도 거절하고있다. 그런데 애플 불매운동은 거론조차 안된다. 독도를 넘기느니 아이폰은 사야겠다?... http://fb.me/1jY17xB0z,2016-06-24
독도를 일본땅이라고 표기하는 애플제품 불매운동 해야하는것 아닌가요....,2016-06-24
"애플, 독도를 '일본섬'으로 표기…한국 주장 외면=매국노의 후예 7푼이가 위안부 문제등에 비루한 꼴 보인 이래 일본에 이어 이젠 미국넘들도 이젠 공공연히 한국 무시.. 애플 불매운동 벌이고 탈미국운동 벌여야 http://ln.is/www.pressian.com/new/7fIv9 …",2016-06-24
"애플, 3년전 약속 어기고 독도 일본땅으로 표기…네티즌 불매운동 움직임 http://m.it.chosun.com/m/m_article.html?no=2820918 …",2016-06-24
애플은 독도가 일본섬이라고 주구장창 표기하는데 고쳐달래도 거절하고있다. 그런데 애플 불매운동은 거론조차 안된다. 독도를 넘기느니 아이폰은 사야겠다? 이러니 글로벌 호구 취급 받는거지.. pic.twitter.com/0WrBJOuNDX,2016-06-24
[단독] ＂독도가 일본섬?＂..한국 주장 외면하는 애플 http://v.media.daum.net/v/20160624072930673 … 애플 제품을 불매운동을 합시다 이런 회사의 제품을 사용하는 우리나라 사람들이 문제다 절대로 애풀제품을 사용해서는 안된다,2016-06-24
"[단독] ""독도가 일본섬?""..한국 주장 외면하는 애플 | 다음 뉴스 http://v.media.daum.net/v/20160624072930673?f=m … 이쯤되면 애플에 대한 조직적인 불매운동이 필요하지 않나?",2016-06-23
애플 양키넘드라!! 돈받고 쪽바리랑 독도 먹어보려고하냐///??? 왜 대한민국 독도에서 사진을 찍었는디- 일본 놈둘 지명이 뜨냐////??? 바꾼척만 했다며? 완존 바꿔라!!!- 양키물건 불매운동 벌인다!!!,2016-06-23
"일제? 반미종북간첩놈이 허위사실유포질이네? 지금 자유민주주의 일본이 과거 전체주의 일제와 같냐? 욱일기단 일본해군은 미국,대만,호주,필리핀도갔었다.. 일본극우놈들 설치지않게하려면 일본욕만하지말고 일본우익기업 불매운동부터 제대로해라..",2016-06-23
"@rhiejw 일본우익만화캐릭터 빠는거보니 일본우익상품 불매운동도 안하면서 일본우익비난하나? 욱일기단 일본해군이 미국,호주,대만,필리핀에 ... RT @newsis #14087381 #뉴시스 http://lr.cx/Pae4B",2016-06-22
"美출장중 신동빈 ""심려끼쳐 죄송.. 호텔롯데 年內상장"" | 다음 뉴스 http://v.media.daum.net/v/20160616030819019?f=m … 롯데의 수익금을 국내에서 소화할까 일본기업이니 일본으로 전액 들어갈까? 전 국민의 롯데그룹 제품 불매운동을 벌여야 한다. 일본기업 퇴출~",2016-06-15
한국의 여혐은 항의하거나 불매운동해서 적극적으로 대응하는데 트위터에서 제일 많이 덕질하는 일본 서브컬쳐도 여혐이 심하다고 하는데 왜 대응을 안하는거지?,2016-06-13
"대기업의 갑질 횡포에 소비자들이 분노하여, 일부에서 불매운동을 벌이고 있다. 불매의 대상인 기업은 롯데. 한국과 일본 양국에, 사업의 분야를 나누어서 운영하는 체제. 국내에는 소비재 산업이 주를 이룬다. 반대하는 입장은 아니지만, 제대로 될까?",2016-06-12
