시군구,번지,지목,용도지역,도로조건,계약년월,계약일,계약면적(㎡),거래금액(만원),지분구분,a,실거래가
울산광역시 울주군,3**,전,제1종일반주거지역,12m미만,201809,21,248.0,24900, ,17,6175200.0
울산광역시 울주군,9**,대,제2종일반주거지역,8m미만,201809,21,188.0,25000, ,17,4700000.0
울산광역시 울주군,3**,전,제1종일반주거지역,-,201809,21,285.0,28500, ,17,8122500.0
울산광역시 울주군,5*,대,제2종일반주거지역,25m미만,201809,21,217.6,30000, ,17,6528000.0
울산광역시 울주군,3**,전,제1종일반주거지역,-,201809,21,364.0,30310, ,17,11032840.0
울산광역시 울주군,3**,전,제1종일반주거지역,12m미만,201809,21,7.0,700, ,17,4900.0
울산광역시 울주군,3**,답,제1종일반주거지역,-,201809,21,166.0,8250, ,17,1369500.0
울산광역시 울주군,3**,전,제1종일반주거지역,-,201809,21,87.0,8700, ,17,756900.0
울산광역시 울주군,1***,대,제2종일반주거지역,-,201809,21,245.7,80000, ,16,19656000.0
울산광역시 울주군,4**,답,제1종일반주거지역,8m미만,201809,21,335.0,9090, ,17,3045150.0
울산광역시 울주군,8*,전,제2종일반주거지역,12m미만,201809,22,206.0,21500, ,17,4429000.0
울산광역시 울주군,8**,대,제2종일반주거지역,12m미만,201809,26,578.5,100000, ,17,57850000.0
울산광역시 중구 ,4**,대,제1종일반주거지역,12m미만,201809,26,143.4,11000,지분,12,1577400.0
울산광역시 울주군,6**,전,제1종일반주거지역,8m미만,201809,27,125.0,1900, ,17,237500.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,답,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,165.0,2994, ,17,494010.0
울산광역시 울주군,4**,답,제1종일반주거지역,8m미만,201809,27,165.0,2994, ,17,494010.0
울산광역시 동구 ,산*,임야,제3종일반주거지역,-,201809,27,50.0,20000,지분,12,1000000.0
울산광역시 울주군,4**,전,제1종일반주거지역,8m미만,201809,27,166.0,3012, ,17,499992.0
울산광역시 울주군,4**,답,제1종일반주거지역,-,201809,27,189.0,3430, ,17,648270.0
울산광역시 울주군,4**,전,제1종일반주거지역,-,201809,27,223.0,4046, ,17,902258.0
울산광역시 울주군,3**,전,제1종일반주거지역,-,201809,28,33.0,1283,지분,17,42339.0
울산광역시 울주군,7**,대,제2종일반주거지역,25m이상,201809,28,76.0,11500,지분,17,874000.0
울산광역시 울주군,2**,전,제1종일반주거지역,-,201809,28,66.0,3060,지분,17,201960.0
울산광역시 울주군,*,대,제2종일반주거지역,12m미만,201809,28,618.9,42000, ,17,25993800.0
울산광역시 울주군,산1*,임야,제1종일반주거지역,-,201810,1,23.0,1029,지분,17,23667.0
울산광역시 울주군,산2*,임야,제1종일반주거지역,-,201810,1,56.0,2499,지분,17,139944.0
울산광역시 남구 ,8**,구거,제3종일반주거지역,25m미만,201810,1,928.0,280256, ,12,260077568.0
울산광역시 울주군,산1*,임야,제1종일반주거지역,-,201810,1,79.0,3528,지분,17,278712.0
울산광역시 울주군,6*,전,제2종일반주거지역,-,201810,1,1011.0,54400, ,17,54998400.0
울산광역시 울주군,6**,대,제1종일반주거지역,8m미만,201810,1,493.0,6000, ,17,2958000.0
울산광역시 북구 ,1**,전,제1종일반주거지역,8m미만,201810,2,185.0,12000, ,12,2220000.0
울산광역시 울주군,1***,대,제1종일반주거지역,12m미만,201810,2,330.0,53000, ,16,17490000.0
