165,6300
232,8900
123,17000
121,17000
5,210
6.52,1000
14,1236
8,658
2,236
6,708
73,8616
166.5,2000
41,3000
503,48750
8.5,500
1.67,731
1.67,869
3,960
83,12061
506,12240
90,15000
124,3500
33,1000
998,31680
159.4,34000
159.3,34000
4.14,348
6.58,552
321,15550
30,2000
1028,281000
95,4000
54.2,2000
17.88,3000
74,5200
330,3300
9.2,2190
11.8,2810
124.67,15000
1064.93,70000
271.6,53400
349.75,15000
331,19000
331,19000
330,2450
661,10400
330,5290
495,6000
75,1100
17.2,400
495,7500
126,14616
268,28944
275.3,33750
275.3,33750
66,4000
9,948
